"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1228973684.219,20.387,10.030,1.36e-21,28.831,1.500,24.808290,0.000,0.000,0.998,"Z6mEjD3T2R","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Z6mEjD3T2R.png"
1228975705.188,23.115,18.457,7.83e-22,3982.484,2.500,7935.997070,0.000,0.000,0.998,"YUJCfbsRAj","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/YUJCfbsRAj.png"
1229055643.813,21.146,14.617,2.09e-21,3977.241,4.380,7946.482910,0.000,0.000,0.998,"kKjhs7T92k","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/kKjhs7T92k.png"
1228988946.938,23.953,24.956,9.24e-22,3979.047,2.883,7942.870605,0.000,0.000,0.998,"avLwdHtEyc","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/avLwdHtEyc.png"
1228992879.313,21.146,13.010,1.65e-21,26.830,2.750,31.003941,0.000,0.000,0.998,"ipR49hj6Eo","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/ipR49hj6Eo.png"
1228989412.938,21.526,20.094,1.58e-21,3982.484,2.500,7935.997070,0.000,0.000,0.997,"jBmtWZ2yLp","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/jBmtWZ2yLp.png"
1228993170.813,21.526,18.368,1.23e-21,3982.484,2.368,7935.997070,0.000,0.000,0.997,"b9A5xBcmLK","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/b9A5xBcmLK.png"
1229066755.313,28.623,71.004,1.84e-21,3978.161,16.156,7944.644043,0.000,0.000,0.997,"QXVNrCMjlk","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/QXVNrCMjlk.png"
1229053157.563,20.406,14.467,2.14e-21,3982.484,2.280,7935.997070,0.000,0.000,0.997,"h2ZM3IwZKY","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/h2ZM3IwZKY.png"
1228988815.375,21.845,20.813,1.22e-21,2578.354,2.625,5134.772949,0.000,0.000,0.997,"QhuRk9Ma4h","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/QhuRk9Ma4h.png"
